,target,ids,date,flag,user,text,type,traget
412424,0,2060346907,Sat Jun 06 18:44:04 PDT 2009,NO_QUERY,whataboutkirsty,WHY HAVE THE JOBROS TAKEN OVER MY LIFE? JJ DOING 'SINGLE LADIES' IS NOW MY TWITTER BACKGROUND ,train,
21494,0,1557293618,Sun Apr 19 03:12:10 PDT 2009,NO_QUERY,Jamie_Carter,I need something to do on a sunday that i actually want to do instead of just pigging out ,train,
450790,0,2069584933,Sun Jun 07 16:08:49 PDT 2009,NO_QUERY,MooreWriting,@heathermarie79 unfortunately not. in fact now he is saying it could be a guy singing it. sorry ,train,
417909,0,2061646675,Sat Jun 06 21:18:27 PDT 2009,NO_QUERY,Asphalt42,"Trying to relax, I seem to work harder on the weekends  no rest for the weary I guess.",train,
385360,0,2053588572,Sat Jun 06 05:04:18 PDT 2009,NO_QUERY,Argistics,"Sorry, Have not updated in a while, Twitter would not let me update my password ",train,
639262,0,2234681591,Thu Jun 18 23:31:53 PDT 2009,NO_QUERY,blackdaddy14,@sWEETs41 i kno its hella hot and its jus gonna be worse 2mrw ,train,
108853,0,1824396320,Sun May 17 01:12:07 PDT 2009,NO_QUERY,bettyXDXD,supermac did not die  god damit i hope he did not die poor mac ,train,
76419,0,1695646131,Mon May 04 06:37:45 PDT 2009,NO_QUERY,JordonS,school  wish it would finish already,train,
499995,0,2186709831,Mon Jun 15 19:13:30 PDT 2009,NO_QUERY,holly_anne,"@sleslicountmein wtf. &amp; i've always wanted to get a tattoo on my palm right below my thumb, but i don't think i could handle it. ",train,
656074,0,2240299327,Fri Jun 19 09:34:48 PDT 2009,NO_QUERY,rprasad32,Im sick of waiting!! downgrading to 2.2.1 jailbreak is to slow ,train,
290579,0,1995402638,Mon Jun 01 13:26:04 PDT 2009,NO_QUERY,angelicaprado,Not enjoying any kind of food at the moment! ,train,
395788,0,2056198880,Sat Jun 06 10:42:23 PDT 2009,NO_QUERY,GraceEP,Wish I had someone to talk to ,train,
503705,0,2187919924,Mon Jun 15 21:00:39 PDT 2009,NO_QUERY,ElizabethChingo,"Some people are getting on my nervessss  I don't like it. I wish I could go back to last night, that would be siiiick&lt;3",train,
550114,0,2202829471,Tue Jun 16 22:29:43 PDT 2009,NO_QUERY,JessicaUno,I have a bad stomach ache.. in less than a week.. ,train,
684088,0,2250447019,Sat Jun 20 00:33:04 PDT 2009,NO_QUERY,DirtyAngel,@wolfcraaft you're the only twitter friend I have online right now... And I need snuggles. I'm tired and have tummy pains  ... Hold me!,train,
660124,0,2242452530,Fri Jun 19 12:12:29 PDT 2009,NO_QUERY,Rutto_chan,in 5 days it'll be 2 years since mcr's concert  &lt;3,train,
464312,0,2175101590,Mon Jun 15 00:05:20 PDT 2009,NO_QUERY,janicelaing,"TV remote has officially gone MIA, have to get up to turn off TV     Why is there not a 'TV remote' pager button on TV's???",train,
199456,0,1971441719,Sat May 30 07:07:12 PDT 2009,NO_QUERY,kellymrockson,work till 730. still a very sick panda  didn't sleep well. sigh. i need something to cheer me up.,train,
483764,0,2180517607,Mon Jun 15 10:34:43 PDT 2009,NO_QUERY,xbicoastalkidx,Fell asleep with the TV on... so I didn't hear any of the texts I got.  Sadnesssssss.,train,
401369,0,2057655555,Sat Jun 06 13:24:44 PDT 2009,NO_QUERY,GillyWillyWo0,"@Don_J wat u thinkin bout?  I was reeally hungover this mornin but feelin better now, lol",train,
534259,0,2197469320,Tue Jun 16 13:49:33 PDT 2009,NO_QUERY,StealingJesus,"Rain rain go away, stop ruining Taco Tuesday! ",train,
494182,0,2184842656,Mon Jun 15 16:30:07 PDT 2009,NO_QUERY,CristenBrophy,dropped the fam off at the airport in albany.... i misss Ualbs!!!! ,train,
225362,0,1977623407,Sat May 30 21:20:57 PDT 2009,NO_QUERY,NEEFFRESH,@Stu_D0gg i aint got no passport yet... lmao . ahora! i hope u aint got no accent? i will LAUGH! im sorry ,train,
299656,0,1998066110,Mon Jun 01 17:56:11 PDT 2009,NO_QUERY,imkrissy,@_strokemyEGO LOL! The only songs i was able to get from the album was track 1 ,train,
698079,0,2254011483,Sat Jun 20 09:05:29 PDT 2009,NO_QUERY,discowhore,"Oh, she just ran over a squirrel. ",train,
644606,0,2236070069,Fri Jun 19 02:46:49 PDT 2009,NO_QUERY,prem_k,"@GLComputing wear as in dress or break down? sorry, thats a genuine doubt ",train,
580723,0,2214050472,Wed Jun 17 16:11:54 PDT 2009,NO_QUERY,xneqrita,yo I jus thought about it I haven't talked to my mom in almost a month ,train,
270971,0,1989936010,Mon Jun 01 03:19:40 PDT 2009,NO_QUERY,bananallanah,@selfadhesive aw I'm sorry ,train,
416205,0,2061249641,Sat Jun 06 20:28:52 PDT 2009,NO_QUERY,kidologist,@twitterworld wishing Twitter was more than 140 characters... sometimes it is just 20-30 characters short. ,train,
17294,0,1556235478,Sat Apr 18 22:05:51 PDT 2009,NO_QUERY,adlyman,oh how I wish I could just stay in bed and sleep tonight  off to work in an hour,train,
42856,0,1676279806,Fri May 01 21:35:05 PDT 2009,NO_QUERY,FredJo23,@Cherrelle_1116 yeah that shit is crazy. Bout to watch it on the ipoid right now.  wahhhhhh,train,
647961,0,2236898596,Fri Jun 19 04:46:36 PDT 2009,NO_QUERY,genk78,On my way to work...mad 'cause I don't get to go to the beach today.  ,train,
617974,0,2227321854,Thu Jun 18 13:03:07 PDT 2009,NO_QUERY,strongdesign,its that time of month again... newsletter writing time  it always makes me so sleepy!,train,
225529,0,1977657347,Sat May 30 21:25:17 PDT 2009,NO_QUERY,AlainaMonet,E Badu WAS here tonight! Marie called missed the call she had an extra ticket FOR ME! My ish was on vibrate I missed the whole damn show ,train,
65962,0,1691262076,Sun May 03 17:28:05 PDT 2009,NO_QUERY,MeleahJ,Just got home from Nina's house the movie was awesome!! ;).... i have school 2mmorow ewwwwwwwww ,train,
19353,0,1556832059,Sun Apr 19 00:33:53 PDT 2009,NO_QUERY,IamSB,@shaktijs is that too much to ask for? ,train,
301340,0,1998626054,Mon Jun 01 18:51:40 PDT 2009,NO_QUERY,bigpooinaurinal,So not impressed with the new season of jon and kate plus 8. It makes me so sad ,train,
178197,0,1965909359,Fri May 29 16:46:03 PDT 2009,NO_QUERY,Anitaestya,Missing everybody  http://myloc.me/21S1,train,
81852,0,1752863556,Sat May 09 23:15:01 PDT 2009,NO_QUERY,JulianneA,i wish i could be home with my mother and grandmothers ,train,
192454,0,1969858433,Sat May 30 01:29:51 PDT 2009,NO_QUERY,DodgrlvrManny,It is on at Truth Seekers right now... @BuddhaSupreme not feelin 100% though...  ,train,
657074,0,2240822555,Fri Jun 19 10:12:16 PDT 2009,NO_QUERY,aliciam0915,#squarespace hook a girl up! New phone coming out now and I can't get one ,train,
649592,0,2237332113,Fri Jun 19 05:36:58 PDT 2009,NO_QUERY,14MST,"Its the weekend, in the pub tonight and tomorrow night. Tomorrow is a comedy day in Blackpool with Lara. PJ pissed on my bed  lil shit!",train,
114970,0,1826561627,Sun May 17 08:47:48 PDT 2009,NO_QUERY,Hando224,Wants to go back to Portland like yesterday  Work sucks,train,
674836,0,2247911093,Fri Jun 19 19:48:49 PDT 2009,NO_QUERY,valselby,@retta719 So sorry to hear that retta  I hope he is better quick. damn it,train,
579162,0,2213381116,Wed Jun 17 15:17:53 PDT 2009,NO_QUERY,JohnyCook,@ijustine thats alright for some to get a huge discount! I want an iphone ,train,
484080,0,2180620662,Mon Jun 15 10:43:04 PDT 2009,NO_QUERY,stickerset,@Kkosatka I don't think I wanna know what goes on in that head of yours sometimes.. Ahw KK get better  no more vodka! And no judging lol,train,
705034,0,2256235418,Sat Jun 20 12:28:05 PDT 2009,NO_QUERY,Miss_Jennyy,@JOR_DYNAMITE I miss you ,train,
688470,0,2251531313,Sat Jun 20 03:48:20 PDT 2009,NO_QUERY,blindingiris,has a headache and feels too sore to fall asleep. ,train,
658652,0,2241651393,Fri Jun 19 11:12:38 PDT 2009,NO_QUERY,jillybee,"@EATerrell @kellywcobb  ...I would've taken ranch, too!!! ",train,
68960,0,1693084469,Sun May 03 21:31:23 PDT 2009,NO_QUERY,vodkatrina,second nosebleed of the day ,train,
502434,0,2187529074,Mon Jun 15 20:25:01 PDT 2009,NO_QUERY,indigirl,@amallen773 I know. ,train,
392287,0,2055113901,Sat Jun 06 08:43:26 PDT 2009,NO_QUERY,ubringmejoi,"@blackbarbie027 hmmmmm.... yeah and he might get mad if you close it  maybe rub the back of his head or scratch his back, that might work",train,
677568,0,2248729586,Fri Jun 19 21:05:21 PDT 2009,NO_QUERY,kayla_z1,"Jogging, isnt REALLY that cool, especially if you've got a fever ",train,
564208,0,2206136926,Wed Jun 17 06:03:54 PDT 2009,NO_QUERY,Emily1384,Keeps getting wolf whistled  it's more than annoying x,train,
385016,0,2053518126,Sat Jun 06 04:50:23 PDT 2009,NO_QUERY,chimologyorg,"Just watched every past GA tour, bar Greatest Hits  Makes me love so many more album tracks again. Im on Tangled Up now...",train,
316802,0,2002476769,Tue Jun 02 04:19:40 PDT 2009,NO_QUERY,galaxyhappyman,hmm i have to do my good thing next monday ,train,
158041,0,1956516302,Thu May 28 22:02:54 PDT 2009,NO_QUERY,deceptikk0n,ahh..boy meets world..why doesnt it show anymore ,train,
295865,0,1996973930,Mon Jun 01 16:01:34 PDT 2009,NO_QUERY,AestheticsGirl,"@sirimyhrom What happened?  I saw you put up your second tweet, was very excited, and I get home.... it's gone.  ",train,
67362,0,1692292541,Sun May 03 19:40:59 PDT 2009,NO_QUERY,SeeShelxox,Trying 2 sleep but sadly can't ,train,
504516,0,2188148335,Mon Jun 15 21:23:03 PDT 2009,NO_QUERY,randarookaboom,@joshsabou into the seat ,train,
456523,0,2071302352,Sun Jun 07 19:10:24 PDT 2009,NO_QUERY,LoSoAlluring,"Watching the game, drinking a magarita...S0 not ready to go home tomorrow ",train,
497145,0,2185792321,Mon Jun 15 17:54:47 PDT 2009,NO_QUERY,thisisrobster,Just saw the Carlos Pardo wreck with my own eyes. Damned roll cage broke in several places! No chance of surviving that wreck. ,train,
312390,0,2001518755,Tue Jun 02 01:09:03 PDT 2009,NO_QUERY,SabrinaBrynie,"Its not good at all  I think cause I hav a big day 2morro, I'm like a little kid all excited!",train,
608279,0,2223273010,Thu Jun 18 08:04:08 PDT 2009,NO_QUERY,PavBel,i wish i wasn't switching to Verizon later in the year so I could get the iPhone  i guess the Blackberry Storm will do..,train,
681270,0,2249698388,Fri Jun 19 22:50:19 PDT 2009,NO_QUERY,wwefreak45,Connected to a network  completed connecting to internet  fails!!,train,
250910,0,1983335784,Sun May 31 12:57:45 PDT 2009,NO_QUERY,carolcaldasl,"@Dannymcfly PLEASE DANNY, SAY SOMETHING TO ME. ANYTHING. PLEAASE. I REALLY LOVE YOU ! PLEEEEEEASE ",train,
624402,0,2229887334,Thu Jun 18 16:20:46 PDT 2009,NO_QUERY,timjparker,"@brawngp_fanblog  I don't like Max, Bernie, or  budget capped-dumbed down-free for all #F1, but  a break away doesn't feel like good news ",train,
199743,0,1971509513,Sat May 30 07:16:30 PDT 2009,NO_QUERY,ellice_x,i hateee hayfever! can't go outside cos my eyes are sore and keep watering ,train,
577688,0,2212724220,Wed Jun 17 14:27:26 PDT 2009,NO_QUERY,epicc_skipp,just woke up again ,train,
586122,0,2215862600,Wed Jun 17 18:42:54 PDT 2009,NO_QUERY,asoftparody,"@Russelman For real. It's like a sea of uncontrolled angst, ignorance, &amp; grammar follies. ",train,
791844,0,2326086370,Thu Jun 25 06:31:50 PDT 2009,NO_QUERY,soundhunter,@LynnetteThomas I'm so worried for them ,train,
371411,0,2050421609,Fri Jun 05 18:38:22 PDT 2009,NO_QUERY,SquishyKory,Home alone again......YAY!!!! BUT STILL HAVE TO DO MORE CHORES.....UGH ,train,
758058,0,2295596832,Tue Jun 23 08:07:52 PDT 2009,NO_QUERY,poppychix,Wishes that all Yankai said last night was true ,train,
46782,0,1677489647,Sat May 02 02:21:03 PDT 2009,NO_QUERY,ionastwit,last night i dreamt i moved to florida and lived inside cindarellas castle and had lots of servants..then i woke up ,train,
442730,0,2067365055,Sun Jun 07 12:12:56 PDT 2009,NO_QUERY,TehKraken,"My basement is losing one chair, one couch, and in the near future, the two-seat couch as well  this makes me sad  see? sad ",train,
89194,0,1755215034,Sun May 10 08:33:39 PDT 2009,NO_QUERY,Kaaayleigh,@outsidertim indeed... especially as it was him who had the accident with the gas canister! kitty doesnt have any whiskers left ,train,
552075,0,2203313649,Tue Jun 16 23:28:08 PDT 2009,NO_QUERY,kmukole,@lamborghiniT well i aint got no tatts ,train,
201686,0,1971949993,Sat May 30 08:14:36 PDT 2009,NO_QUERY,tinythechick,"about to go work, but wishes she could schleeeeeep. ",train,
461451,0,2174451996,Sun Jun 14 22:34:55 PDT 2009,NO_QUERY,lyricalies,@tiffanyblews and it was hard work too! ,train,
238828,0,1980497006,Sun May 31 06:54:50 PDT 2009,NO_QUERY,Liska13,"@howard74 LOL - but sad but true, as you said howard  even my cat is smilling to those promises! http://www.twitpic.com/3cjdv",train,
353949,0,2033640337,Thu Jun 04 12:59:38 PDT 2009,NO_QUERY,the__director,"@tomguilmette NP, I have the 200a and I didn't see it on the list, I'm assuming I'll have to upgrade the firmware, that scares me. ",train,
458357,0,2071867219,Sun Jun 07 20:02:33 PDT 2009,NO_QUERY,CaseyLane,Is reluctantly taking her cat back to her original family. Just not that right time ,train,
381782,0,2052851442,Sat Jun 06 02:16:20 PDT 2009,NO_QUERY,Tyrone17,@demiswissfan im sorry she hasnt toured here yet either ,train,
354415,0,2039703277,Thu Jun 04 22:35:42 PDT 2009,NO_QUERY,_writersblock_,@AngiRINGSitUP damnit. he's already in waffle house. He wont read it ,train,
389188,0,2054401466,Sat Jun 06 07:16:19 PDT 2009,NO_QUERY,a1511,hello twitter world! trying to know how  photofiltre words.. I miss my photoshop sooooooooo bad ,train,
202604,0,1972166992,Sat May 30 08:41:51 PDT 2009,NO_QUERY,caitlindawn,"@Rrarra According to the news, classes won't be suspended in spite of the flu ",train,
535040,0,2197763344,Tue Jun 16 15:08:17 PDT 2009,NO_QUERY,AJWilz,gonna go to the signing party tonight and then geography ,train,
72451,0,1694235758,Mon May 04 01:41:46 PDT 2009,NO_QUERY,kehers,dnamzonubley is up for private beta here: http://nubley.com so u can toy around it. its been a big work configurin d server. bn up al ngt ,train,
49933,0,1678313764,Sat May 02 06:17:41 PDT 2009,NO_QUERY,LaylaDarling,Ughhh. How am i supposed to wake up?  i dreamed about mitch's girlfriend all night. Weird,train,
610895,0,2224344700,Thu Jun 18 09:23:18 PDT 2009,NO_QUERY,mrsroboto,cannot read or understand japanese at all. ,train,
652767,0,2238347894,Fri Jun 19 07:09:39 PDT 2009,NO_QUERY,jvaill,"@comforteagle TELL ME about Windows servers, having to move everything to another box AGAIN. Tried to tell 'em about Linux.. Dun't care. ",train,
684662,0,2250575921,Sat Jun 20 00:53:55 PDT 2009,NO_QUERY,PageKennedy,@thisiscaliluv not in the club tonight? i saw you at my house tues you didnt even say hi lol. ,train,
639445,0,2234725277,Thu Jun 18 23:37:18 PDT 2009,NO_QUERY,DedaCorleon,"@TazVaz awww  I just found mad fonts, installing them in photoshop now. bout to make some hoooottt shit. lol",train,
127761,0,1834782811,Mon May 18 04:11:12 PDT 2009,NO_QUERY,frannywalk,@jadapalmer I wish my fml tweet was about a man LOL it's be that much easier unfort. I've discovered that the liar is just myself  LOL,train,
223248,0,1977169244,Sat May 30 20:16:39 PDT 2009,NO_QUERY,finding_bleu,@nadiapr  Because it RAINED? Are they made of sugar? When did we get 'this old' that we don't go out cos it rained?  I'd have gone with u!,train,
423075,0,2062794394,Sun Jun 07 00:19:19 PDT 2009,NO_QUERY,Roebaggs,"i have woken up tired, whats the deal with that? how can i wake up and still be tired ",train,
591608,0,2217711996,Wed Jun 17 21:16:04 PDT 2009,NO_QUERY,heyrkstar,"Everyone send positive vibes to @JAMESONWELLS , he must be having a bad day ",train,
119807,0,1831150452,Sun May 17 18:18:48 PDT 2009,NO_QUERY,michelle_pineda,its raining........i hate this weather!!!! so jealous of Jennifer Stone cuz she's having fun right now at Debby Ryan's Sweet 16...... ,train,
595102,0,2218683728,Wed Jun 17 22:56:53 PDT 2009,NO_QUERY,haleyspears,i feel so gross why does my mom have to be so weird about noise! going to bed school tomorrow...wish i knew what he was thinking ,train,
108587,0,1824323283,Sun May 17 00:54:00 PDT 2009,NO_QUERY,abcdevan,NOOOOOOOOOOOO PEYTON IS GOING TO DIE D: AND LUCAS IS GONNA LEAVE I KNOW IT. OTH IS GONNA SUCK NOW ,train,
746426,0,2283001494,Mon Jun 22 12:04:43 PDT 2009,NO_QUERY,MimyC,@LastWebdesigner Too bad you left... ,train,
521035,0,2192292532,Tue Jun 16 06:48:52 PDT 2009,NO_QUERY,IamBHill,@im_howye I get it frm yo momma/my auntie... stop changing ya name hoe.. I see your depressed now that ya brother little africa is gone ,train,
676027,0,2248275195,Fri Jun 19 20:22:11 PDT 2009,NO_QUERY,paige_elise,Ugh! Maybe goin out isn't 4 me anymore!!! ,train,
154010,0,1933078179,Tue May 26 22:56:27 PDT 2009,NO_QUERY,gutlessgrl,my sleep schedule is sooo off!  ... i*m so unsettled this evening - boo! &amp; it*s raining ...,train,
214209,0,1975182611,Sat May 30 14:37:13 PDT 2009,NO_QUERY,LysdelTellez,Staying home tonight..the weather's sucky ugh ,train,
425125,0,2063257300,Sun Jun 07 01:56:58 PDT 2009,NO_QUERY,DarcyMarch,im in desperate need of match sticks for my eye lids ,train,
71453,0,1693971884,Mon May 04 00:31:08 PDT 2009,NO_QUERY,nrknthuk,"Just discovered if you append interesting words to twitter url, most of them are people who grabbed that account but never update ",train,
351560,0,2018649467,Wed Jun 03 10:17:41 PDT 2009,NO_QUERY,flower1892,slept till 10 woke up all yucky... i had dream about food  which made me hungry and sad cuz we dont have the food dreamt about :'(,train,
399781,0,2057242503,Sat Jun 06 12:38:17 PDT 2009,NO_QUERY,morgan019,"@justinphillip no, i have another week and a day. then regents and finals start ",train,
38361,0,1573249081,Tue Apr 21 00:19:47 PDT 2009,NO_QUERY,ReemTeam,@MiiSs_AhhTeeYaa no probb... Wish I coulda joined ya! But I'm tooo young ,train,
281781,0,1992428222,Mon Jun 01 08:44:14 PDT 2009,NO_QUERY,PoynterPerve,"@prettyclassic sigh yeahh, had one today... it was awful! two hours blahhh. Got another tomorrow aswell.  boo. How're you? xx",train,
610797,0,2224303268,Thu Jun 18 09:20:14 PDT 2009,NO_QUERY,KyleKalbfleisch,I hate being sick n having to work ,train,
719319,0,2260559757,Sat Jun 20 19:24:52 PDT 2009,NO_QUERY,SocialiteSteph,"@CarnellUNYC LoL ooh yeahShe died tho that was hard4me. I had 2 older bros who body slammed, piledrived me, etc n she was my only outlet ",train,
206067,0,1973037056,Sat May 30 10:21:29 PDT 2009,NO_QUERY,rica0lucio,Passed everything. Missed my 2 mile tho ,train,
72205,0,1694166044,Mon May 04 01:22:57 PDT 2009,NO_QUERY,shannons12003,"my little one is not feeling so well, she's teething  awww. i feel so bad, i just held my baby til she went to sleep",train,
351678,0,2018735009,Wed Jun 03 10:25:47 PDT 2009,NO_QUERY,theAmberBarton,@mileycyrus you guys arent coming to new mexico?? ,train,
634270,0,2233253989,Thu Jun 18 21:04:19 PDT 2009,NO_QUERY,michaelbertalan,ok i dont think the direct deposit worked  ha... time to watch tv..,train,
544937,0,2201268118,Tue Jun 16 20:02:22 PDT 2009,NO_QUERY,katieboocat,"@BenzenetheCat Rain, rain, rain.  It rained here in Nashville for a few weeks, but that's over now. ",train,
754021,0,2287078256,Mon Jun 22 17:19:18 PDT 2009,NO_QUERY,free_225,I have no idea; very blonde moment actually mean wi fi   !!,train,
161984,0,1957446936,Fri May 29 00:31:44 PDT 2009,NO_QUERY,surkova,"@drinkins I'm suffering from the Internet that works bad, only sites hosted on russian servers are available for me ",train,
144266,0,1881928457,Fri May 22 05:52:34 PDT 2009,NO_QUERY,dDreamdesigns,@rayandrenny whats goood? i sent ya a ton of emails for the myspace design but u didn't reply me ,train,
357628,0,2044813341,Fri Jun 05 09:51:23 PDT 2009,NO_QUERY,insolence,No milk for my Earl Grey - life sucks ,train,
538765,0,2199215138,Tue Jun 16 17:10:53 PDT 2009,NO_QUERY,iMcFly,Someone got off the bus too early. ,train,
248668,0,1982769454,Sun May 31 11:52:00 PDT 2009,NO_QUERY,ashemischief,@_apricottea There wasn't any nose bleed &amp; it doesn't seem broken--just hurts a lot now ,train,
396757,0,2056456543,Sat Jun 06 11:10:39 PDT 2009,NO_QUERY,KayleenDuhh,"@desireeapril i will love, sorry you cant go ",train,
4276,0,1468784780,Tue Apr 07 03:43:16 PDT 2009,NO_QUERY,sterling_silver,finally home. rawr so much work to do ,train,
348182,0,2016690541,Wed Jun 03 07:12:06 PDT 2009,NO_QUERY,Gingee_,"enjoys having nothing to do now exams are over, but doesnt fell very well ",train,
583134,0,2214844955,Wed Jun 17 17:18:49 PDT 2009,NO_QUERY,natashaislegit,my bloodsugar is low  but im late for class..sigh.,train,
384010,0,2053323028,Sat Jun 06 04:08:00 PDT 2009,NO_QUERY,kympot,@stefibeee i only realized that now too SHIT nooo its going to be canceled just you wait! ,train,
22915,0,1557599968,Sun Apr 19 05:03:14 PDT 2009,NO_QUERY,iz8p,"@CharleneIsabel :  that's what  i used, but i get a message about &quot; being blocked from sites  got an alt email i can use?",train,
496975,0,2185734991,Mon Jun 15 17:49:38 PDT 2009,NO_QUERY,thelindavang,ahhhhhhhhhhhhhhh I wanna cry!!! Kenji says that ghosts are serious business in Japan ,train,
50532,0,1678536293,Sat May 02 07:00:57 PDT 2009,NO_QUERY,paigebradford,finally going to bed... ughhh im so tired  night twitterland,train,
415206,0,2061005902,Sat Jun 06 19:59:59 PDT 2009,NO_QUERY,CarlzB,@brittneyparss  i'll show you pictures,train,
147995,0,1882985571,Fri May 22 07:49:11 PDT 2009,NO_QUERY,Willjr92,@logochannel IM WORKING THIS WEEKEND ,train,
376753,0,2051747658,Fri Jun 05 22:42:41 PDT 2009,NO_QUERY,WorTony,Lovely morning for a run - NOT - it's absolutely lashing it down ,train,
324421,0,2006294047,Tue Jun 02 10:57:16 PDT 2009,NO_QUERY,Larissav7,is being sick can ruin someones days...i feel crappy ,train,
150716,0,1932338255,Tue May 26 21:16:13 PDT 2009,NO_QUERY,DivinaE,DAMN... ON SATURDAY A FEMALE WHO WAS CELEBRATING HER 21ST DOWNTOWN GOT SHOT AND KILLED AFTER A CONFRONTATION AFTER LEAVING CLUB BELO...  ,train,
633355,0,2232974111,Thu Jun 18 20:39:25 PDT 2009,NO_QUERY,Baddestbritt90,about to go to sleep.. had a day full of drama.. ,train,
312681,0,2001580515,Tue Jun 02 01:21:35 PDT 2009,NO_QUERY,xandralouise,"@raphaellochan Didn't even look at specs. All outer beauty, I'm so shallow ",train,
523752,0,2193238539,Tue Jun 16 08:11:06 PDT 2009,NO_QUERY,Tessa,Argh. No way am I going to make it to the blogger's preview/demo of the CLEAR 4G WiMax USB device today  Too much work.,train,
708511,0,2257326925,Sat Jun 20 14:09:40 PDT 2009,NO_QUERY,Saffy,Sigh B had forgotten that @alaric doesn't have Saturdays at home - 'not much of a Saturday at home he's having' ,train,
359621,0,2045912743,Fri Jun 05 11:25:18 PDT 2009,NO_QUERY,remotevoices,"@hivesofactivity i think its essential that they tell knock jokes though, because its the only way they'll learn! imagine life without ",train,
223513,0,1977223961,Sat May 30 20:25:33 PDT 2009,NO_QUERY,Hollywoodqueen7,"@jkylie it was a great day today!  sorry, your head started hurting you, ",train,
782355,0,2323640334,Thu Jun 25 01:07:14 PDT 2009,NO_QUERY,dlee333,@timme625 I LOVE CRAB ,train,
714375,0,2259110397,Sat Jun 20 17:02:01 PDT 2009,NO_QUERY,lemonhead567,damn shes still not home  just testing somn out &lt;3,train,
17889,0,1556425373,Sat Apr 18 22:47:20 PDT 2009,NO_QUERY,SDM_BLANK,damn some people just love to piss me off but im just gon let it go.... ,train,
77552,0,1750917065,Sat May 09 18:13:49 PDT 2009,NO_QUERY,stephie_44,@heidimontag  not so good... what do you do when you and you &amp; spence are fighting!? its ruining my saturday night.,train,
435455,0,2065429332,Sun Jun 07 08:34:40 PDT 2009,NO_QUERY,grayscalealien,"@alizan i would - but no money.  Corts is thinking about actually getting though, ill let you know if he ever does ",train,
291275,0,1995652319,Mon Jun 01 13:50:01 PDT 2009,NO_QUERY,areyawell,"good day. gonna miss phoebe and rachel so much  just leaving dublin now. deli was closed, intensely hungry. as emmet says, fuck my life :F",train,
470392,0,2176413394,Mon Jun 15 03:48:28 PDT 2009,NO_QUERY,kashleyk1,"Wow, I finally read what I twittered on my bday...omg! ",train,
