target,ids,user,text,text_cleaned
0,1752008230,suziqb77,home now and a Headache came with me ,home headach came
0,1795602692,DeeMoneyLuv,a little disgusted...was it wrong to use Jon &amp; Kate Gosselin as my only real hope in marriage? Apparently they're both cheating....NICE! ,littl disgustedwa wrong use jon amp kate gosselin real hope marriag appar theyr cheatingnic
0,1688806822,drashtibuch,"MI lost.. and HOW!!  sad ending to a great day! And btw, happy birthday lil pesky sis!",mi lost sad end great day btw happi birthday lil peski si
0,2299641861,brittney_bee,@srsly_shannon not today or tomorrow? ,today tomorrow
0,1972604867,baldwinm,@cschultz wish I could make the BBQ but I'm moving all weekend  see you Tuesday!,wish could make bbq im move weekend see tuesday
0,1964742836,KComer,@SooSpecial i did that but my INS wouldn't pay for the therapy  so now i dk what to do!!,in wouldnt pay therapi dk
0,2057199994,J_Stroud,is bored and on a downer ,bore downer
0,1793926148,captainjack63,@AmericanWomannn No... Going to bed now. Besides coffee really is not agreeing with me lately. ,go bed besid coffe realli agre late
0,1694253024,chayn3s,i feel a cold coming on  sore throat blocked nose.,feel cold come sore throat block nose
0,1999393012,Baby_Blue_Jeans,Ok...I'm  trying to uplaod a pic on here...why is it not uploading?!??!?!?!?   it must not like me....,okim tri uplaod pic herewhi upload must like
0,2240464390,lfur,"3GS launch a million times better than the 3G launch... downfall, no new shirts ",g launch million time better g launch downfal new shirt
0,1977120823,sillysheila,We got raped by 7th graders at science decathlon.  Boo.,got rape th grader scienc decathlon boo
0,2189431698,mab397,@KdeR apparently all the costume stores get there stock from the same place and they're sold out for 6 weeks ,appar costum store get stock place theyr sold week
0,2245908447,AndiLovesCandy,i lost my phone at the mall  and my parents said i cant get another,lost phone mall parent said cant get anoth
0,2246136787,myperfectmo,@itiisdemilovato marce i need u ,marc need u
0,1833856149,benndy,@T_MEEE  how did the screen crack ?,screen crack
0,1970283120,__Ahmed,"hi everyone, another lovely day and im work ",hi everyon anoth love day im work
0,1977872154,tobi319,@WorksInProgress hmm..... im not sure then sorry ,hmm im sure sorri
0,2193894290,wrath914,at work very bored.. suffocated by worries.. ,work bore suffoc worri
0,2007520820,troglet,I bought chicken thighs instead of edible chicken.  This makes me cry.  Frozen pizza for me tonight then ,bought chicken thigh instead edibl chicken make cri frozen pizza tonight
0,1979170505,kooldutchlady,"Ironing sucks. Still needs to be done, though ",iron suck still need done though
0,2062254860,dava3mar,y cant i be a buterfly n just fly away from it all espsholy love ,cant buterfli n fli away espsholi love
0,2050296630,rissachaela2,@Dave_Annable Just wnted to say I love your show and can not wait til fall.... Sunday nights just are not the same anymore... ,wnted say love show wait til fall sunday night anymor
0,2286992220,BlahBrittBlah,is getting extremely nervous about her surgery on Friday. ,get extrem nervou surgeri friday
0,2222143629,acpamelag,@AC_Jason I was saving my son from falling down the five stairs that go up to the bedrooms. I may be superwoman but I'm not invinsible. ,save son fall five stair go bedroom may superwoman im invins
0,1969236792,areumi,i want to cry. i keep putting books into the boxes but the bookshelves are still packed. i want to cry.  ,want cri keep put book box bookshelv still pack want cri
0,1677935732,missyamyrose,All i can do right now is laugh. I should not be here right now i'm tired ,right laugh right im tire
0,2323760431,msopha,getting water in your ears  while swimming really sucks ,get water ear swim realli suck
0,2176591906,tinymicroserf,"Accidentally buggered my network connection port by forcing in a memory stick  In my defence, the room was dark, and I feeling my way.",accident bugger network connect port forc memori stick defenc room dark feel way
0,1990823221,weavsall,this office is to hot to work in... there is no air even with a fan on ,offic hot work air even fan
0,2232524250,JeydonLover321,@friendsrule4eva Not much! VERY BORED! ,much bore
0,2323515647,yanhui_isdope,thank god theres still remodulers like me scattered around the class. econs class come quick at least i have @abcdefglynis my bff with me ,thank god there still remodul like scatter around class econ class come quick least bff
0,2047964638,pinkelliedragon,has found a poor dead fishie in her pond... Didnt even know I HAD any fish in my pond!! Bloody big coy carp too!! ,found poor dead fishi pond didnt even know fish pond bloodi big coy carp
0,1687403883,benjaminlopez,"Brunch, Church, Band practice (?)  I miss kaitlyn ",brunch church band practic miss kaitlyn
0,1755806868,Sofabrand,"Off to Shintos today, Yeeeee!!!  LOL   Texas de brazil was booked ",shinto today yeeeee lol texa de brazil book
0,2065168755,nlowhor,"thought I could make it to the gas station on that tire.  Sadly, I could not. ",thought could make ga station tire sadli could
0,2231823920,lalafranco,"@pamelaminoso viejaa, no pude ir al grupoo!  but, i'll see you next thursday then ",viejaa pude ir al grupoo ill see next thursday
0,2263879275,Saz1312,is feeling tired and peed off with her dad after he was being annoying to me! last night. what a f*cking knob ,feel tire peed dad annoy last night fcking knob
0,1932898370,mz_maize,i dont sleep when schools in session. procrastination is MUCH more fun. ,dont sleep school session procrastin much fun
0,2069302337,TabDear,it isn't a new army wives ,isnt new armi wive
0,2067584756,vinsonizer,@idolan sorry I can't make it... had to take a nap and my day is full otherwise  ,sorri cant make take nap day full otherwis
0,1835424644,fatlittlepixie,"@lauralaloca Will ring ya, when u free? Had to go to Dr in middle of night ",ring ya u free go dr middl night
0,1695186002,lboog05,today is my last nite home before a very full week. ,today last nite home full week
0,1676640489,tsutara,"hmmm drunk,... but totally not in a good mood ",hmmm drunk total good mood
0,2237853150,MCMudkips,Is going to work. Cousin is here :3 ben will be here later! School tonight ,go work cousin ben later school tonight
0,2262521286,_ItsMel,"Oh snap, just dropped my glass of juice ",oh snap drop glass juic
0,2262154462,freesia39,Fondled the Canon SX at Best Buy.  Still unsure.  ,fondl canon sx best buy still unsur
0,2047426640,katierosexox,i am such a crap singer ,crap singer
0,1977417027,ANYEJB,lule is tokita  I am disappointed!,lule tokita disappoint
0,2190877792,jeffct,@christinebpc you must be exhausted  i make really stupid mistakes when im tired too..,must exhaust make realli stupid mistak im tire
0,2048514666,pagingbettyboop,Elijah is giving Grandma a run for her money today!  ,elijah give grandma run money today
0,1752593317,spytfiregirl,@lattrayant I wish I could  I was lazy this morning and I did nothing of my homewrok though... sorry...,wish could lazi morn noth homewrok though sorri
0,2264047178,keeksandbrie,"good morning!  Up soooo early for a Sunday, hate it when I can't sleep   Making a pot of coffee and going to read Twilight",good morn soooo earli sunday hate cant sleep make pot coffe go read twilight
0,1687431380,ConcertKatie,No baseball today  of course,basebal today cours
0,1975396553,ToriSiddityDoll,Studying....I gotta study for the rest of the night!!! no going out for me ,studyingi got ta studi rest night go
0,1792481582,Reinfyre,blah blah blah its been a busy day for me ,blah blah blah busi day
0,2237291261,TomChild,im stuck at work in the stock room which is extremely warm... ,im stuck work stock room extrem warm
0,2235498546,Ninette8,translating 63 pages... deadline is on thursday... so frustrated ,translat page deadlin thursday frustrat
0,1998046617,menendezm08,There is nothing to do tonight ,noth tonight
0,2263847520,leantropisk,Sunday = a whole lot of reading ,sunday whole lot read
0,1677115512,kayte64,Woah. Guess Swine Flu has become a worldwide thing. ,woah guess swine flu becom worldwid thing
0,2254777075,sonotthepoint,"@violentasian Yes, but I wish I'd known this morning, I could have slept longer ",ye wish id known morn could slept longer
0,2243763425,AF_Kamui,Help!!! I soooo need something to do tonight...  I hate not having plans...,help soooo need someth tonight hate plan
0,2218063538,JerrodK,"@baxter5 ME too, the cosmosphere job didn't pan out  It stinks not having much real life experience, wish som1 would give me a chance",cosmospher job didnt pan stink much real life experi wish som would give chanc
0,1994328225,alexjohn94,Guilty consious' are not fun ,guilti consiou fun
0,1967697877,SandraBenic,"Wowwww. Must be the liquor talking, cuz its so difffff when ur sober!!! ",wowwww must liquor talk cuz difffff ur sober
0,2218807031,MsCinnam0n,Last night I had been asleep 2 hrs by this point of the night  I'm gonna drag my tail upstairs &amp; go to bed. Hopefully I fall right out,last night asleep hr point night im gon na drag tail upstair amp go bed hope fall right
0,2323905256,pimpinwomble,very bored at work ,bore work
0,1957504506,Rogerlam,@NMaize Lucky Rob... always gettin' the T8's from Emalon ,lucki rob alway gettin t emalon
0,2223161524,wall8,@jordanknight  I generally stretch every morning as a kitty.  And sometimes the ball of my leg is raised.  xoxo!!!,gener stretch everi morn kitti sometim ball leg rais xoxo
0,2211322110,DeMarko,"Umm, there were no signs on that door indicating it was alarmed  #wdehd",umm sign door indic alarm wdehd
0,2181869366,Itsconstance,"At grandmas, cells off ",grandma cell
0,2004731607,Angela_Webber_,"@_MikeNewton_ *text* so you don't have to come by if you don't want  Anyway, hope you are having a better day at the store.",text dont come dont want anyway hope better day store
0,2015269524,mivillephoto,"Wow, overslept by about an hour and a half. Woke up still feeling sick too. ",wow overslept hour half woke still feel sick
0,1825173868,jeanneava,"yay #GilmoreGirlsSunday today watching season 3 again, but I wanna have a 8th season or a movie ",yay gilmoregirlssunday today watch season wan na th season movi
0,1966356056,little_joana,I still sound like a man! ,still sound like man
0,2176992294,pisces_mami,Grrrrrrr.. Why did I leave one of my car windows cracked lastnite!!!???? Damn!! SMH... We had a wicked thunderstorm! Leather all wet. ,grrrrrrr leav one car window crack lastnit damn smh wick thunderstorm leather wet
0,2068592924,ryanholroyd,got work tomorrow ,got work tomorrow
0,2235842992,Cass_fryer,@FlissWyatt Awww! Only just seen your tweet about needing a hug!! Sending you a mahusive one as we speak! I need one too today! ,awww seen tweet need hug send mahus one speak need one today
0,2216465313,lolababyyy,"My tummy hurts, not okay! ",tummi hurt okay
0,2286607365,hinata__chan,@waiel  red eye oh no  what does that mean ?,red eye oh mean
0,2247191994,risingtop,@pradt i see ...so i have to wait till dev-team release a version for windows ,see wait till devteam releas version window
0,2265992910,browneyedliz,"@LegoYoda Ah, I'm really, really sorry to hear that ",ah im realli realli sorri hear
0,1881381057,vivianachi,"sigh had to cancel my phone, now i can't tweet through text ",sigh cancel phone cant tweet text
0,1754956346,n4t4sh4_252,Just come outta the sauna...kinda cold...gonna go wash ma hair and then revise coz i gotta Psychology exam on friday ,come outta saunakinda coldgonna go wash hair revis coz got ta psycholog exam friday
0,1969253193,SBnewnie,@MzRenLee I live in north jersey now  but I jus tried smokin lol its ite.,live north jersey ju tri smokin lol ite
0,2325562198,mary__ellen,@liareilly I'M SORRY!!! bootsie made me clean my room and then i had to pack and i was gonna call you but i took a shower and fell asleep ,im sorri bootsi made clean room pack gon na call took shower fell asleep
0,2067325075,kaylapotter89,"@onecoolchicken Haha, I'm sorry ",haha im sorri
0,2175440242,tevensso,@ukroxer Fletching sun  You still coming up?,fletch sun still come
0,2249359927,vivamariaa,"Yeahh, I guess not  I feel so horrible. I told her id be here for her whenever she need me.",yeahh guess feel horribl told id whenev need
0,1989076343,iggi199,Whats for dinner tonight? I seriously CBF ,what dinner tonight serious cbf
0,2000245973,Cyboogie,@LesleyER yep! Fa sho! Hopefully I'll get 2 catch u ladies when yall come back 2 NY...missed out last week when yall were here...booo! ,yep fa sho hope ill get catch u ladi yall come back nymiss last week yall herebooo
0,2174793482,laureljoy_,fuckinn bored. need sleep. arghh. life sucksss!  needing summer.,fuckinn bore need sleep arghh life suck need summer
0,2324608032,boxdog,Bye Connex! Shut the doors on the way out! *beep beep beep* Unfortunately MTR may not be much better.  Whats wrong with Yarra though? ,bye connex shut door way beep beep beep unfortun mtr may much better what wrong yarra though
0,1694826438,TwinkleCrayons,sad its been raining....where has the sunshine gone? ,sad rainingwher sunshin gone
0,1974546618,followmedown,Listening to Ciccilleju's &quot;Martina&quot;. Brings me so many memories! 2004! *nostalgia*. Even Candytron by kb kicks in. Am I that old already? ,listen ciccilleju quotmartinaquot bring mani memori nostalgia even candytron kb kick old alreadi
0,2240369930,love_bj,5 days. I feel like I'm going to puke ,day feel like im go puke
0,2192287021,trika_,"Day 2 of the jackhammers working across the street.  Oh, joy! ",day jackhamm work across street oh joy
0,2263590435,bbybellaa,@stonerella awe come to NY  the stated miss you right back lol,awe come ny state miss right back lol
0,1770833604,SamMassacre,You didn't prove me wrong ,didnt prove wrong
0,2298214316,CourtneyLynnx,Back to work after 10 days of vacation  bummer,back work day vacat bummer
0,1975643944,sky14kemea,"@jenrolton :O they're not invisible, sorry i was trying to find the elements vid ",theyr invis sorri tri find element vid
0,2005589620,DsBabyGirl,@Nkluvr4eva UGH!!!!!!! Man....that sux ,ugh manthat sux
0,2056197818,sp4ever2912,"wish I could go to the no doubt,paramore,bedouin soundclash show ",wish could go doubtparamorebedouin soundclash show
0,2300888905,SluttyHoe,Awww Titanic is over ,awww titan
0,2262801296,jsboston55,@bridgetboston88 yyyy!!!! y do you hate him  im going to cry lmao!!! ,yyyi hate im go cri lmao
0,2235923443,IAmTheRealDan,"Just got to work, Looks like it's gona be a good day! Scheduling meeting in 5 mins though ",got work look like gona good day schedul meet min though
0,2070524973,LilMichou,"while brushing my teeth, i somehow managed to fling my toothbrush into the toilet ",brush teeth somehow manag fling toothbrush toilet
0,2061875201,fabulashes,So sad ahkhun is leaving. I told him it wont b e same anymore &amp; he said things dat made me even more sad.  - http://tweet.sg,sad ahkhun leav told wont b e anymor amp said thing dat made even sad
0,2178235299,CamySussex,I'm off-line until after we move.  see y'all soon! ,im offlin move see yall soon
0,2058208440,D_Reese73,@tbbs I don't have that one ,dont one
0,2189299310,persian_proud,"they surrounded Shiraz university, and took the students with them. who knows if they are alive.  #iranelection #iranians #iran9",surround shiraz univers took student know aliv iranelect iranian iran
0,2202105200,LizzieChainsaw,"is pulling the motor out of a Cutlass, then the rear end out of a Chevy Wagon. Bedtime comes much later ",pull motor cutlas rear end chevi wagon bedtim come much later
0,2017122949,Jocelyn_Heins,@eleanormartin I needed an A. I know that's not happening. I'll be lucky if I get a D  urghhhhhh  xxx,need know that happen ill lucki get urghhhhhh xxx
0,2261064719,firesty,awww i dont think there is  going to be another partayyyy       ...at least not in a long time,awww dont think go anoth partayyyi least long time
0,1986001183,elizabethlinh,I'm going to die ,im go die
0,2251297064,tipaow,MORNING. there is nothing good on tv  well there is FÃRET SHAUN (the sheep shaun!) haha aweosme....!(Y),morn noth good tv well fã ret shaun sheep shaun haha aweosmey
0,2054163977,nattiepang,"I'm feeling quite upset right now, because of Mary!!! ",im feel quit upset right mari
0,2244539819,Cervidae,"So, that was the 2nd season of &quot;The Big Bang Theory&quot;, can't wait for the 3rd one ... Whenever it will be aired ",nd season quotth big bang theoryquot cant wait rd one whenev air
0,1967103138,karinacej,i miss @mileycyrus' excessive tweeting. tweet more pwease ,miss excess tweet tweet pweas
0,1964051745,gwynsmom,"@ThadMcCotter U were great, as always. But, can't we do an east Germany on noko? Or at least provoke them &amp; then go in 4 the kill. ",u great alway cant east germani noko least provok amp go kill
0,2189471630,emh,editing photos. have ~2000 to go through ,edit photo go
0,2178186513,_happygolucky_,@mysummerbeard very good besides magic loss  how was yours?,good besid magic loss
0,1824761955,chrismartindunn,Feel very ill! Had to go out of church twice to throw up  bad pint,feel ill go church twice throw bad pint
0,2047995069,NikkiColeslaw,Shopping at Walmart for some things for work. I hate Walmart ,shop walmart thing work hate walmart
0,2072521467,f0ll0wMarf,"http://twitpic.com/6vx3j - Awwww. . . Long awaited,involuntary,and reluctant doctors visit super early tmrw. .Wish me luck ",awwww long awaitedinvoluntaryand reluct doctor visit super earli tmrw wish luck
0,1792761027,tyraslilsis,Watching VH1..the last days of Left Eye ,watch vhthe last day left eye
0,2002523227,steve_spence,"Still mulling over the #lionhead demo from #xboxe3, smells like skynet &gt;.&lt; not long before our consoles start fighting back ",still mull lionhead demo xbox smell like skynet gtlt long consol start fight back
0,2191723366,PerfctSolutions,@theweddingdiva Would you believe I do not have ONE June wedding.    But look out come July  4!,would believ one june wed look come juli
0,1982407373,GlitterBabyy13,I burned my thumb... It hurts real badddddddd ,burn thumb hurt real badddddddd
0,2045680366,alievans719,is it bad im too poor to even do stupid cute chain letters? ,bad im poor even stupid cute chain letter
0,1983877987,chiro333,@PeterJDiLorenzo lol really?! the interview at A&amp;F didnt go well? ,lol realli interview aampf didnt go well
0,2264271801,leariley,didn't win Matthew Perry's favourite song competition  but I did win grumpy Sunday!,didnt win matthew perri favourit song competit win grumpi sunday
0,2237856643,ambermoffett,Sucking at life slash life is failing me ,suck life slash life fail
0,2189276700,megdunlap,sick  bring me soup,sick bring soup
0,2236945625,andreplaut,@loganroberts damn you! I'm gonna wait a bit to buy it ,damn im gon na wait bit buy
0,2297034216,luxlibson,@vintagespill &amp; I WONT BE IN TOWN. ugh no It's Tops adventure II  come back for good neow.,amp wont town ugh top adventur ii come back good neow
0,2258053598,dareeen,"@CJTheGenesis aw  i'm sorry! I wasted mine too, so you're not alone!",aw im sorri wast mine your alon
0,2302853281,Yggypop,Moving on easier said than done ,move easier said done
0,2254376112,mylaurel,"Ugh, I feel like trash. Overslept, only to wake up to a passive-aggressive voicemail and bad allergies. No roadtrip today afterall. ",ugh feel like trash overslept wake passiveaggress voicemail bad allergi roadtrip today afteral
0,1680164773,samanthatylerr,"@_bianca__ I ran out of microwavable burritos!!  idk, im so full though. I was up at 2:30am grilling hot dogs cause I was hungry. lol ",ran microwav burrito idk im full though grill hot dog caus hungri lol
0,1565569424,paralogy,"@Synthesia I am going to cry when it's over, too  i'm just now reading the update lol don't spoil me ;)",go cri im read updat lol dont spoil
0,2013597158,MsJillian16,Feeling sick from dinner..food wasn't that great. ,feel sick dinnerfood wasnt great
0,2256992210,divatracy0227,@PinkerJewel I hope you get what you need but please be careful ,hope get need plea care
0,2187322436,djwill893,@patpat79  thank u so much dear! Grrrrrr,thank u much dear grrrrrr
0,1974119354,JessMcFlyxxx,@McFreak_ i cant get through  god damn it lol xxx,cant get god damn lol xxx
0,2242913300,KeeleighG,im so sad tht i couldnt see PPP ,im sad tht couldnt see ppp
0,2174483828,iamsarah15,nighty nigh! i miss my boy..suxs to be so far away sleeping in different beds...  saddd,nighti nigh miss boysux far away sleep differ bed saddd
0,2243532903,aalexxa94,http://twitpic.com/7tzh3 - my ..sad ,sad
0,2265672322,MysticMJG,Grrrrr....my mother found me on facebook.  Now I have to watch what I say.  Facebook is suddenly becoming WAY less cool  ,grrrrrmi mother found facebook watch say facebook suddenli becom way le cool
0,1990188914,groggits,"Okay, so it's so hot outside I'm glad I'm in here! Sun burn though ",okay hot outsid im glad im sun burn though
0,1982904616,HimOverThere,"Tiredness, headache and suburn - the result of a BBQ in the sun. So preoccupied with protecting my arms that I forgot about my face! ",tired headach suburn result bbq sun preoccupi protect arm forgot face
0,2050424631,ldaley,working on the weekend ,work weekend
0,2286177458,MattJJH,Always makes the mistake of hanging out with old friends. Only this time i bored nicky with it too ,alway make mistak hang old friend time bore nicki
0,2066238080,sickchild,"@Jenershner I was sad when I heard she passed away, they didn't even credit her in the show.  I love novels and manga actually, lol.",sad heard pas away didnt even credit show love novel manga actual lol
0,2226517229,butterbeanbee,"I'm getting irritated, my iPOD is missing ",im get irrit ipod miss
0,2247085550,JMonse,I'm far away from home..I need my friends ,im far away homei need friend
0,2191616259,whiskeyrich,@buffybot85 that sucks  sounds like a very negative person! ,suck sound like neg person
0,2233091137,xsilverxshadowx,@cashstwit  i wish i was there..,wish
0,2057603637,amandamachado,@allielikewoah ughhhhhhh I know what you mean. I'm working a double today and I feel like it's 10 o'clock at night already. ,ughhhhhhh know mean im work doubl today feel like oclock night alreadi
0,1469292478,hollyalyxfinch,all smoked. my rabbit is so cute. but he hates me ,smoke rabbit cute hate
0,2006995764,rodrigovilarins,"Boa tarde Twitters... Pow, to enjoadÃ£o... Acho q vou tomar um &quot;Dramin&quot;... Raaaaaaauuuuulll... ",boa tard twitter pow enjoadã£o acho q vou tomar um quotdraminquot raaaaaaauuuuulll
0,1978481540,alexandraduggan,"@Count_Almasy ahhh basketball! Don't feel bad I school all! Haha, not these days. I peaked at 15!  how are you?",ahhh basketbal dont feel bad school haha day peak
0,2323214961,rayvalle_ii,@neggii it gets lamer. I actually switched shifts with this new guy. So if I wouldn't have switched my hours wouldn't have been cut. ,get lamer actual switch shift new guy wouldnt switch hour wouldnt cut
0,1964577425,emmielovegood,@hptwilighter I'm dying to read it!  I hate England.,im die read hate england
0,2205295331,jaaaaaackie,is having a terrible headache..  http://plurk.com/p/11lol7,terribl headach
0,2062041402,ethan78,@mindila can you text your sister and ask her if my blackberry is lodged in the recliner?  I hoping not to be out 2 phones in one night ,text sister ask blackberri lodg reclin hope phone one night
0,2177322713,ImmaDingdong,I'm watching hellboy Why must the professor die? ,im watch hellboy must professor die
0,2002818146,cyps,"bed - couch - bed - couch. I wanted time off work, but this isn't how I wanted to spend it! ",bed couch bed couch want time work isnt want spend
0,2185458691,maydaynicole,uhhhh! too much mac n' cheese! ,uhhhh much mac n chees
0,2188818281,conorcurlett,"my netbook lies dormant, awaiting an @jolicould alpha invite. Ubuntu Netbook Remix and HP MIE both fell short on day to day use ",netbook lie dormant await alpha invit ubuntu netbook remix hp mie fell short day day use
0,2203728438,TristanRose,@Contendo ummm....awww that is a bitch!  epic fail on all counts  lol,ummmawww bitch epic fail count lol
0,2056443045,Haunt1013,@theonetruebix Because I don't know how to change it. ,dont know chang
0,2229865486,S_Gaidai,Losing poker tourney on a bubble ,lose poker tourney bubbl
0,2057347128,twittov,@orrnyereg On my way to the Cathedral School. I'd have to do laundry. Yay. ,way cathedr school id laundri yay
0,2214647895,emerysparkles,is so angry that all of her mail boxes keep disappearing! Some things can't be done through email! ,angri mail box keep disappear thing cant done email
0,1695335844,starryrebel,@Electro_CEE aw..i hope they feel better! ,awi hope feel better
0,1559123573,Miz_J_Rock,"Layin N Tha Bed, N Pain... ",layin n tha bed n pain
0,1759305980,devydev09,finally bout to be home n gettin some sleep..bout to leave da aunts house....shower den bed...n 4 more days of skool...shit sad yo..smh ,final bout home n gettin sleepbout leav da aunt houseshow den bedn day skoolshit sad yosmh
0,1826981617,misssstacie,wants to go backkk ,want go backkk
0,2014162637,mangosparks,I don't wanna touch homework right now ,dont wan na touch homework right
0,2000422769,FletcherC,"I'm so worried about Dahlia. Also still very caught up in the many sad events of this weekend, although I thank god Joy is still alive. ",im worri dahlia also still caught mani sad event weekend although thank god joy still aliv
0,1963906670,ZazuTa,@Beadinpath Hi Heather. I dont know why... but I just saw your messages from April!! Have not been very twitter friendly... ,hi heather dont know saw messag april twitter friendli
0,1980610624,Eric_Chiappetta,Wishing KBCO would get the hint and start playing some Adele. ,wish kbco would get hint start play adel
0,2058640254,issie07,stupid twitter made me limit the tweets after an hour  x,stupid twitter made limit tweet hour x
0,2254885337,iCarlycruise,@aleyrose feel like giving up on project.   no one seems to care about it I guess..,feel like give project one seem care guess
0,2239232356,mrsdez13,Seriously can't do this anymore ,serious cant anymor
0,2248961117,ElizabethFinn,@rebecca_glass  I lost 11 lb in a month on it. It made me borderline anorectic. I was scared to eat because I liked the weight losssomuch,lost lb month made borderlin anorect scare eat like weight losssomuch
0,1977256300,angelaalmasy,Just cant believe it  go lakers i guess,cant believ go laker guess
0,2265803001,MissKiss101,Might be getting sick  That really sucks!!!,might get sick realli suck
0,1676589576,beijingbaby,Swine flu in China  [HK reports 1st case of Swine flu. Mexican man who arrived in HK via Shanghai. http://twurl.nl/1ffz5h],swine flu china hk report st case swine flu mexican man arriv hk via shanghai
0,2266944165,goldenlady,There's something up w/my host - I can't upload anything. ,there someth wmi host cant upload anyth
0,2187982145,CathOk,Lawn was closed at HBO Bryant Park Summer Film Festival because of the rain. Soaking wet and now sick. ,lawn close hbo bryant park summer film festiv rain soak wet sick
0,2052030168,GiovannaCal,I feel so lonely I need a boyfriend ,feel lone need boyfriend
0,2015130309,theinfamoushobo,@monikaaabitch LOL. i was like to my mum &quot;they said people who are sick should stay at home&quot; but i still have to go  DEPRESSING,lol like mum quotthey said peopl sick stay homequot still go depress
0,1687298168,teebeeee,I just wanna listen to Miley and do no work  I'm going to have to have MIley breaks.,wan na listen miley work im go miley break
0,2249861713,amazon_reviews,Beware shipping  Beware! The shipping for this item is a whopping $25.00!!! A hefty sum for a six do http://tinyurl.com/myjer7,bewar ship bewar ship item whop hefti sum six
0,2259557243,Mandybabes360,might have to delete my guys. Watch this space ,might delet guy watch space
0,1468441009,samsworldofno,@phillColeman I had it as low as 3.5 last night ,low last night
0,1983457901,Alfasirius,Ooopssss... Sunday &amp; working... ,ooopssss sunday amp work
0,2050168152,danipoynterjudd,oooooh i have EXACTLY 300 msn contacts! only 8 online though! ,oooooh exactli msn contact onlin though
0,1983030935,michelleii,wanna see the hannah montana movie!! and missed the last prison break episode ,wan na see hannah montana movi miss last prison break episod
0,1991715853,jiangyin,i think my muse deserted me ,think muse desert
0,1795704704,SuperJennBlogs,Waited too long to book DS birthday party at Deanna Rose Farmstead... everything available but the ONE place we wanted there ,wait long book d birthday parti deanna rose farmstead everyth avail one place want
0,1994630487,dropdeadashleyx, ahhhhh this is the worst thing to ever happen to me,ahhhhh worst thing ever happen
0,2056643937,Appleman830,"Hi guys. Well, Today I have had a really boring day. I fell on my coccyx again so I can not skate for a while. And that sucks!! ",hi guy well today realli bore day fell coccyx skate suck
0,1997552023,__TereBleu,@aazenett i know!! it hates me ,know hate
0,2052286433,BoredKathryn,Leaving today ,leav today
0,1996805600,xtine,big sadness over california higher education cutbacks  - http://bit.ly/4Wt7P,big sad california higher educ cutback
0,2323805425,xerinfnstein,"@fabrrregas I love you, too! I haven't seen you in ageeeess.  I miss you. Yaaay. ^^ Were they good?",love havent seen ageeeess miss yaaay good
0,2177309908,dinorobosa,"A trojan devastated my hard drve.Ther goes one of my pricd posesions:most, if not al my PICS!im left wit none.Sad but have to let go ",trojan devast hard drvether goe one pricd posesionsmost al picsim left wit nonesad let go
0,1997768804,bsomerton16,"school sucks .. sooo much to do , didnt even start studying yettttt ",school suck sooo much didnt even start studi yettttt
